Funktionale Gliederung,Direktion,Produktgruppe (z.T. gekürzte Bezeichnung),"Rechnung 2012
Kosten
(inkl. Kosten Staatsbeiträge)","Rechnung 2012
Erlöse
(inkl. Erlöse Staatsbeiträge und fiskalische Erlöse und Bussen)",DB IV,"Voranschlag 2012
Kosten
(inkl. Kosten Staatsbeiträge)","Voranschlag 2012
Erlöse
(inkl. Erlöse Staatsbeiträge und fiskalische Erlöse und Bussen)",DB IV
Bildung,Erziehungsdirektion,Interne Dienstleistungen,11.6,.0,-11.6,16.0,.0,-16.0
Bildung,Erziehungsdirektion,Ausbildungsbeiträge,25.2,4.2,-21.0,27.5,3.5,-24.1
Kultur / Freizeit,Erziehungsdirektion,Kultur,66.7,2.2,-64.5,62.5,.7,-61.8
Öffentliche Sicherheit,Datenschutzaufsichtsstelle,Datenschutz,.9,.0,-.9,1.0,.0,-1.0
Allgemeine Verwaltung,"Bau-, Verkehrs- und Energiedirektion",Vermessung und Geoinformation,8.6,2.8,-5.7,9.9,2.2,-7.7
Allgemeine Verwaltung,"Bau-, Verkehrs- und Energiedirektion",Betrieb der Liegenschaften,247.3,26.8,-220.4,249.2,23.7,-225.5
Allgemeine Verwaltung,"Bau-, Verkehrs- und Energiedirektion",Entwicklung des Liegenschaftsbestandes,115.9,9.2,-106.7,113.6,.0,-113.6
Umwelt / Raumordnung,"Bau-, Verkehrs- und Energiedirektion",Nachhaltige Entwicklung,15.9,.3,-15.6,16.0,.4,-15.6
Umwelt / Raumordnung,"Bau-, Verkehrs- und Energiedirektion",Wasser und Abfall,38.9,80.4,41.5,48.2,76.8,28.6
Umwelt / Raumordnung,"Bau-, Verkehrs- und Energiedirektion",Hochwasserschutz,45.2,2.8,-42.3,29.8,1.5,-28.3
Verkehr,"Bau-, Verkehrs- und Energiedirektion",Führungsunterstützung,17.7,.4,-17.3,20.6,1.1,-19.5
Verkehr,"Bau-, Verkehrs- und Energiedirektion",Verwaltungsrechtspflege und rechtliche Dienstleistungen,2.2,.2,-2.0,2.4,.2,-2.2
Verkehr,"Bau-, Verkehrs- und Energiedirektion",Kantonsstrassen,172.4,123.5,-48.9,182.1,123.5,-58.7
Verkehr,"Bau-, Verkehrs- und Energiedirektion",Nationalstrassen,44.1,40.1,-4.1,36.7,38.8,2.0
Verkehr,"Bau-, Verkehrs- und Energiedirektion",Spezialprodukte,7.2,.2,-7.1,9.4,.0,-9.4
Verkehr,"Bau-, Verkehrs- und Energiedirektion",Verkehrsangebot öffentlicher Verkehr,279.1,92.0,-187.1,283.3,93.6,-189.7
Verkehr,"Bau-, Verkehrs- und Energiedirektion",Infrastruktur und Rollmaterial öffentlicher Verkehr,46.2,.0,-46.2,55.4,.0,-55.4
