Funktionale Gliederung,Direktion,Produktgruppe (z.T. gekürzte Bezeichnung),"Rechnung 2011
Kosten
(inkl. Kosten Staatsbeiträge)
","Rechnung 2011
Erlöse
(inkl. Erlöse Staatsbeiträge und fiskalische Erlöse und Bussen)",DB IV,"
Voranschlag 2011
Kosten
(inkl. Kosten Staatsbeiträge)","Voranschlag 2011
Erlöse
(inkl. Erlöse Staatsbeiträge und fiskalische Erlöse und Bussen)
",DB IV
Finanzen / Steuern,Finanzdirektion,Bezug und Dienstleistungen,23.5,271.4,247.9,23.1,263.0,239.9
Finanzen / Steuern,Finanzdirektion,Veranlagung Spezialsteuern,10.5,165.3,154.7,12.1,141.4,129.3
Bildung,Erziehungsdirektion,Führungsunterstützung,21.2,.3,-20.9,22.6,.2,-22.4
Bildung,Erziehungsdirektion,Rechtliche Dienstleistungen,1.2,.0,-1.1,1.3,.1,-1.2
Bildung,Erziehungsdirektion,Kindergarten und Volksschule,1130.1,350.2,-780.0,1109.3,342.9,-766.3
Bildung,Erziehungsdirektion,Erziehungsberatung und Schulergänzende Angebote,46.5,.7,-45.8,52.4,.3,-52.1
Bildung,Erziehungsdirektion,"Berufsbildung, Weiterbildung und Berufsberatung",562.5,130.7,-431.8,565.0,125.0,-440.0
Bildung,Erziehungsdirektion,Bildung Mittelschulen,168.0,6.7,-161.3,168.2,7.2,-161.0
Bildung,Erziehungsdirektion,Universitäre Bildung,555.2,246.2,-309.0,364.0,56.5,-307.5
Bildung,Erziehungsdirektion,Fachhochschulbildung,171.6,11.5,-160.0,174.3,13.4,-160.9
Bildung,Erziehungsdirektion,Lehrerinnen- und Lehrerbildung,96.6,20.4,-76.1,91.5,14.4,-77.1
Bildung,Erziehungsdirektion,Interne Dienstleistungen,12.1,.0,-12.1,15.2,.0,-15.2
Bildung,Erziehungsdirektion,Ausbildungsbeiträge,27.4,4.1,-23.3,27.6,3.5,-24.1
Kultur / Freizeit,Erziehungsdirektion,Kultur,69.6,1.6,-68.0,64.4,.6,-63.8
Öffentliche Sicherheit,Datenschutzaufsichtsstelle,Datenschutz,.7,.0,-.7,.8,.2,-.6
Allgem. Verwaltung,"Bau-, Verkehrs- und Energiedirektion",Vermessung und Geoinformation,8.8,2.4,-6.4,10.0,2.1,-8.0
Allgem. Verwaltung,"Bau-, Verkehrs- und Energiedirektion",Betrieb der Liegenschaften,262.3,18.0,-244.3,253.5,19.4,-234.1
Allgem. Verwaltung,"Bau-, Verkehrs- und Energiedirektion",Entwicklung des Liegenschaftsbestandes,35.0,5.8,-29.2,38.1,.0,-38.1
Umwelt / Raumordnung,"Bau-, Verkehrs- und Energiedirektion",Nachhaltige Entwicklung,15.6,1.0,-14.6,22.2,6.6,-15.6
Umwelt / Raumordnung,"Bau-, Verkehrs- und Energiedirektion",Wasser und Abfall,39.8,78.0,38.2,49.4,69.3,19.9
Umwelt / Raumordnung,"Bau-, Verkehrs- und Energiedirektion",Hochwasserschutz,38.3,4.7,-33.6,35.3,1.4,-33.9
Verkehr,"Bau-, Verkehrs- und Energiedirektion",Führungsunterstützung,18.9,.4,-18.4,20.0,.2,-19.8
Verkehr,"Bau-, Verkehrs- und Energiedirektion",Verwaltungsrechtspflege und rechtliche Dienstleistungen,2.3,.2,-2.0,2.3,.2,-2.1
Verkehr,"Bau-, Verkehrs- und Energiedirektion",Kantonsstrassen,177.7,99.6,-78.1,174.4,97.2,-77.2
Verkehr,"Bau-, Verkehrs- und Energiedirektion",Nationalstrassen,68.9,39.3,-29.6,35.6,34.1,-1.5
Verkehr,"Bau-, Verkehrs- und Energiedirektion",Spezialprodukte,42.6,20.1,-22.5,40.9,18.6,-22.3
Verkehr,"Bau-, Verkehrs- und Energiedirektion",Verkehrsangebot öffentlicher Verkehr,271.8,89.6,-182.3,269.7,89.1,-180.6
Verkehr,"Bau-, Verkehrs- und Energiedirektion",Infrastruktur und Rollmaterial öffentlicher Verkehr,63.5,.0,-63.5,53.1,.0,-53.1
