Funktionale Gliederung,Direktion,Produktgruppe (z.T. gekürzte Bezeichnung),"Rechnung 2012
Kosten
(inkl. Kosten Staatsbeiträge)","Rechnung 2012
Erlöse
(inkl. Erlöse Staatsbeiträge und fiskalische Erlöse und Bussen)",DB IV,"Voranschlag 2012
Kosten
(inkl. Kosten Staatsbeiträge)","Voranschlag 2012
Erlöse
(inkl. Erlöse Staatsbeiträge und fiskalische Erlöse und Bussen)",DB IV
Finanzen / Steuern,Finanzdirektion,Führungsunterstützung,"3,922",295,"-3,626","4,189",280,"-3,909"
Finanzen / Steuern,Finanzdirektion,Verwaltungsinterne Verwaltungsrechtspflege,14,0,-14,107,0,-107
Finanzen / Steuern,Finanzdirektion,Voranschlag und Aufgaben-/Finanzplan Kanton,590,0,-590,633,0,-633
Finanzen / Steuern,Finanzdirektion,Tresorerie,"7,524","120,476","112,952","7,865","118,994","111,129"
Finanzen / Steuern,Finanzdirektion,Finanzausgleich Bund – Kanton / Kanton – Gemeinden,874,"971,524","970,650","1,136","971,015","969,879"
Finanzen / Steuern,Finanzdirektion,Dienstleistungen Haushaltsführung,"8,568",0,"-8,568","11,070",0,"-11,070"
Finanzen / Steuern,Finanzdirektion,Konzernrechnungswesen,"1,575",0,"-1,575","2,116",0,"-2,116"
Finanzen / Steuern,Finanzdirektion,Veranlagung periodische Steuern,"114,775","4,177,964","4,063,189","113,988","4,546,731","4,432,743"
Finanzen / Steuern,Finanzdirektion,Bezug und Dienstleistungen,"22,354","257,891","235,537","24,364","281,015","256,651"
Finanzen / Steuern,Finanzdirektion,Veranlagung Spezialsteuern,"9,776","183,980","174,204","12,403","141,402","128,999"
Bildung,Erziehungsdirektion,Führungsunterstützung,"21,007",276,"-20,731","23,367",215,"-23,152"
Bildung,Erziehungsdirektion,Rechtliche Dienstleistungen,"1,102",35,"-1,066","1,079",51,"-1,028"
Bildung,Erziehungsdirektion,Kindergarten und Volksschule,"1,125,996","349,974","-776,022","1,090,541","336,853","-753,688"
Bildung,Erziehungsdirektion,Erziehungsberatung und Schulergänzende Angebote,"53,039",376,"-52,662","53,834",299,"-53,536"
Bildung,Erziehungsdirektion,"Berufsbildung, Weiterbildung und Berufsberatung","540,484","148,163","-392,321","559,886","137,575","-422,311"
Bildung,Erziehungsdirektion,Bildung Mittelschulen,"166,307","6,445","-159,863","171,994","7,258","-164,737"
Bildung,Erziehungsdirektion,Universitäre Bildung ,"582,278","269,623","-312,656","366,384","56,520","-309,864"
Bildung,Erziehungsdirektion,Fachhochschulbildung ,"163,796","7,393","-156,402","168,279","11,381","-156,898"
Bildung,Erziehungsdirektion,Lehrerinnen- und Lehrerbildung,"95,312","24,986","-70,326","91,595","21,424","-70,170"
Bildung,Erziehungsdirektion,Interne Dienstleistungen,"11,553",0,"-11,553","15,955",0,"-15,955"
Bildung,Erziehungsdirektion,Ausbildungsbeiträge,"25,212","4,232","-20,980","27,505","3,450","-24,055"
Kultur / Freizeit,Erziehungsdirektion,Kultur,"66,656","2,199","-64,457","62,492",734,"-61,758"
Öffentliche Sicherheit,Datenschutzaufsichtsstelle,Datenschutz,890,1,-889,967,0,-967
Allgemeine Verwaltung,"Bau-, Verkehrs- und Energiedirektion",Vermessung und Geoinformation,"8,557","2,847","-5,710","9,895","2,199","-7,695"
Allgemeine Verwaltung,"Bau-, Verkehrs- und Energiedirektion",Betrieb der Liegenschaften,"247,294","26,845","-220,449","249,174","23,688","-225,486"
Allgemeine Verwaltung,"Bau-, Verkehrs- und Energiedirektion",Entwicklung des Liegenschaftsbestandes,"115,919","9,234","-106,685","113,558",0,"-113,558"
Umwelt / Raumordnung,"Bau-, Verkehrs- und Energiedirektion",Nachhaltige Entwicklung,"15,860",266,"-15,594","16,015",382,"-15,633"
Umwelt / Raumordnung,"Bau-, Verkehrs- und Energiedirektion",Wasser und Abfall,"38,935","80,415","41,480","48,174","76,783","28,609"
Umwelt / Raumordnung,"Bau-, Verkehrs- und Energiedirektion",Hochwasserschutz,"45,158","2,844","-42,314","29,836","1,506","-28,330"
Verkehr,"Bau-, Verkehrs- und Energiedirektion",Führungsunterstützung,"17,675",391,"-17,283","20,573","1,075","-19,499"
Verkehr,"Bau-, Verkehrs- und Energiedirektion",Verwaltungsrechtspflege und rechtliche Dienstleistungen,"2,227",230,"-1,997","2,358",192,"-2,166"
Verkehr,"Bau-, Verkehrs- und Energiedirektion",Kantonsstrassen,"172,403","123,519","-48,884","182,139","123,460","-58,679"
Verkehr,"Bau-, Verkehrs- und Energiedirektion",Nationalstrassen,"44,132","40,063","-4,069","36,736","38,774","2,038"
Verkehr,"Bau-, Verkehrs- und Energiedirektion",Spezialprodukte,"7,249",154,"-7,095","9,418",2,"-9,416"
Verkehr,"Bau-, Verkehrs- und Energiedirektion",Verkehrsangebot öffentlicher Verkehr,"279,133","92,043","-187,089","283,346","93,611","-189,735"
Verkehr,"Bau-, Verkehrs- und Energiedirektion",Infrastruktur und Rollmaterial öffentlicher Verkehr,"46,237",6,"-46,231","55,403",0,"-55,403"
